"","Country","Date","X50","Y5","Y7","Y2","X5 (Estimate)","X5 (Alternative)","PerCapHouse","1","2","3","4","5","6","7"
"1","Austria","01/01/1948",6.953,NA,26.1,NA,2030.40875,2030.40875,292.019092478067,0.296,0.242,0.054,0.704,0.485,0.289617486,0.058
"2","Austria","01/01/1949",6.942,NA,29,NA,2058.68375,2058.68375,296.554847306252,0.296,0.242,0.054,0.704,0.485,0.289617486,0.058
"3","Austria","01/01/1950",6.935,NA,46.2,NA,2103.72875,2103.72875,303.349495313627,0.296,0.242,0.054,0.704,0.485,0.289617486,0.058
"4","Austria","01/01/1951",6.934,2138,35.15,NA,2138,2138,308.33573694837,0.296,0.242,0.054,0.704,0.485,0.289617486,0.058
"5","Austria","01/01/1952",6.949,NA,57.3,NA,2172.123985,2172.123985,312.580800834653,0.296,0.242,0.054,0.704,0.485,0.289617486,0.058
"6","Austria","01/01/1953",6.96,NA,38.2,NA,2187.625471,2187.625471,314.314004454023,0.27,0.215,0.055,0.73,0.513,0.289617486,0.073
"7","Austria","01/01/1954",6.969,NA,40.3,NA,2205.174456,2205.174456,316.426238484718,0.267,0.215,0.052,0.733,0.516,0.289617486,0.091
"8","Austria","01/01/1955",6.974,NA,41.4,NA,2223.795942,2223.795942,318.869507026097,0.274,0.207,0.067,0.726,0.507,0.289617486,0.111
"9","Austria","01/01/1956",6.983,NA,42,NA,2243.002427,2243.002427,321.208997135901,0.2998,0.1966,0.1032,0.7002,0.5116,0.289617486,0.1022
"10","Austria","01/01/1957",6.997,NA,34.6,NA,2254.993913,2254.993913,322.28010761755,0.3256,0.1862,0.1394,0.6744,0.5162,0.289617486,0.0934
"11","Austria","01/01/1958",6.987,NA,36.192,NA,2268.537598,2268.537598,324.679776441964,0.3514,0.1758,0.1756,0.6486,0.5208,0.289617486,0.0846
"12","Austria","01/01/1959",7.014,NA,35.541,NA,2281.446558,2281.446558,325.270396065013,0.3772,0.1654,0.2118,0.6228,0.5254,0.289617486,0.0758
"13","Austria","01/01/1960",7.048,NA,42.9,NA,2301.530544,2301.530544,326.550871736663,0.403,0.155,0.248,0.597,0.53,0.289617486,0.067
"14","Austria","01/01/1961",7.087,NA,44,1.1,2322.687029,2322.687029,327.739103852124,0.417,0.148,0.269,0.583,0.51,0.289617486,0.073
"15","Austria","01/01/1962",7.13,NA,45.4,2.2,2344.143515,2344.143515,328.771881486676,0.405,0.119,0.286,0.595,0.552,0.289617486,0.043
"16","Austria","01/01/1963",7.172,2367.6,47,1.8,2367.6,2367.6,330.117122141662,0.403,0.114,0.289,0.597,0.542,0.289617486,0.055
"17","Austria","01/01/1964",7.215,2416.3,50.7,2,2416.3,2416.3,334.899514899515,0.419,0.139,0.28,0.581,0.532,0.289617486,0.049
"18","Austria","01/01/1965",7.255,2463.7,49.6,2.2,2463.7,2463.7,339.586492074431,0.433,0.129,0.304,0.567,0.514,0.289617486,0.053
"19","Austria","01/01/1966",7.29,2512,48.1,NA,2512,2512,344.581618655693,0.4525,0.133,0.3195,0.5475,0.4895,0.289617486,0.058
"20","Austria","01/01/1967",7.323,2560.9,51,3,2560.9,2560.9,349.706404479039,0.472,0.137,0.335,0.528,0.465,0.289617486,0.063
"21","Austria","01/01/1968",7.35,2607.5,50.6,4,2607.5,2607.5,354.761904761905,0.474,0.099,0.375,0.525,0.462,0.289617486,0.063
"22","Austria","01/01/1969",7.37,2652.5,49,4,2652.5,2652.5,359.905020352782,0.49,0.143,0.347,0.505,0.423,0.289617486,0.082
"23","Austria","01/01/1970",7.39,2693.5,45,4,2693.5,2693.5,364.479025710419,0.466,0.144,0.322,0.534,0.467,0.289617486,0.067
"24","Austria","01/01/1971",7.46,2734.5,45,4,2734.5,2734.5,366.554959785523,0.466,0.144,0.322,0.534,0.467,0.289617486,0.067
"25","Austria","01/01/1972",7.49,2703.3,50.3,6,2703.3,2703.3,360.921228304406,0.479,0.159,0.32,0.541,0.471,0.289617486,0.07
"26","Austria","01/01/1973",7.53,2759.6,44,7,2759.6,2759.6,366.480743691899,0.41,0.114,0.296,0.59,0.522,0.289617486,0.068
"27","Austria","01/01/1974",7.53,2796.6,50,7.5,2796.6,2796.6,371.394422310757,0.41,0.1,0.31,0.59,0.5,0.289617486,0.09
"28","Austria","01/01/1975",7.52,2880,48.4,7.5,2880,2880,382.978723404255,0.424,0.095,0.329,0.576,0.464,0.289617486,0.112
"29","Austria","01/01/1976",7.51,2916.1,44.1,8,2916.1,2916.1,388.295605858855,0.361,0.073,0.288,0.639,0.517,0.289617486,0.122
"30","Austria","01/01/1977",7.52,2955.5,45.4,8,2955.5,2955.5,393.018617021277,0.39,0.088,0.302,0.61,0.511,0.289617486,0.099
"31","Austria","01/01/1978",7.51,2996.8,51.5,8,2996.8,2996.8,399.041278295606,0.409,0.08,0.329,0.591,0.456,0.289617486,0.135
"32","Austria","01/01/1979",7.51,3041.9,55.1,8,3041.9,3041.9,405.046604527297,0.445,0.1,0.345,0.555,0.459,0.289617486,0.096
"33","Austria","01/01/1980",7.55,3037.5,78.5,8.7,3037.5,3037.5,402.317880794702,0.316937941,0.057789617,0.259148323,0.683062059,0.599079751,0.289617486,0.083982309
