Quarter,Year,Q,CPI,Earnings,HousePrice
Q4 1952,1952,Q4,5.31,6.57,1890.7397635229636
Q1 1953,1953,Q1,5.34,6.64,1890.7397635229636
Q2 1953,1953,Q2,5.42,6.67,1890.7397635229636
Q3 1953,1953,Q3,5.42,6.75,1881.4257745400917
Q4 1953,1953,Q4,5.42,6.8,1872.11178555722
Q1 1954,1954,Q1,5.42,6.86,1862.7977965743482
Q2 1954,1954,Q2,5.47,6.98,1872.11178555722
Q3 1954,1954,Q3,5.58,7.06,1862.7977965743482
Q4 1954,1954,Q4,5.63,7.13,1853.4838075914765
Q1 1955,1955,Q1,5.68,7.28,1900.0537525058353
Q2 1955,1955,Q2,5.73,7.48,1937.3097084373221
Q3 1955,1955,Q3,5.81,7.56,1937.3097084373221
Q4 1955,1955,Q4,5.99,7.63,1937.3097084373221
Q1 1956,1956,Q1,6.02,7.85,1974.565664368809
Q2 1956,1956,Q2,6.12,8.09,2002.5076313174243
Q3 1956,1956,Q3,6.1,8.16,2002.5076313174243
Q4 1956,1956,Q4,6.17,8.23,2002.5076313174243
Q1 1957,1957,Q1,6.25,8.27,2021.1356092831677
Q2 1957,1957,Q2,6.28,8.44,2021.135609283168
Q3 1957,1957,Q3,6.36,8.6,2030.4495982660399
Q4 1957,1957,Q4,6.46,8.69,2030.44959826604
Q1 1958,1958,Q1,6.46,8.72,2049.0775762317835
Q2 1958,1958,Q2,6.54,8.72,2049.0775762317835
Q3 1958,1958,Q3,6.49,8.84,2058.391565214655
Q4 1958,1958,Q4,6.59,9.02,2067.705554197527
Q1 1959,1959,Q1,6.62,9.03,2077.0195431803986
Q2 1959,1959,Q2,6.51,9.03,2104.961510129014
Q3 1959,1959,Q3,6.51,9.08,2123.5894880947576
Q4 1959,1959,Q4,6.59,9.12,2170.1594330091166
Q1 1960,1960,Q1,6.57,9.25,2188.78741097486
Q2 1960,1960,Q2,6.59,9.41,2235.3573558892185
Q3 1960,1960,Q3,6.59,9.51,2300.5552787693205
Q4 1960,1960,Q4,6.7,9.65,2328.4972457179356
Q1 1961,1961,Q1,6.72,9.9,2403.0091575809097
Q2 1961,1961,Q2,6.77,9.99,2440.2651135123965
Q3 1961,1961,Q3,6.85,10.09,2468.2070804610116
Q4 1961,1961,Q4,6.96,10.24,2542.7189923239853
Q1 1962,1962,Q1,7.01,10.31,2552.032981306857
Q2 1962,1962,Q2,7.16,10.45,2598.6029262212155
Q3 1962,1962,Q3,7.14,10.6,2645.172871135574
Q4 1962,1962,Q4,7.14,10.71,2673.114838084189
Q1 1963,1963,Q1,7.24,10.71,2747.6267499471633
Q2 1963,1963,Q2,7.27,10.78,2822.1386618101374
Q3 1963,1963,Q3,7.24,11.06,2850.0806287587525
Q4 1963,1963,Q4,7.3,11.23,2943.22051858747
Q1 1964,1964,Q1,7.35,11.55,2999.1044524847007
Q2 1964,1964,Q2,7.48,11.85,3092.244342313418
Q3 1964,1964,Q3,7.56,12.02,3138.814287227777
Q4 1964,1964,Q4,7.61,12.09,3185.384232142136
Q1 1965,1965,Q1,7.66,12.26,3269.210132987982
Q2 1965,1965,Q2,7.82,12.54,3343.722044850956
Q3 1965,1965,Q3,7.87,12.78,3380.978000782443
Q4 1965,1965,Q4,7.92,13.14,3418.2339567139297
Q1 1966,1966,Q1,7.97,13.3,3464.8039016282887
Q2 1966,1966,Q2,8.1,13.49,3557.9437914570062
Q3 1966,1966,Q3,8.18,13.56,3557.9437914570062
Q4 1966,1966,Q4,8.26,13.63,3585.8857584056213
Q1 1967,1967,Q1,8.26,13.59,3641.769692302852
Q2 1967,1967,Q2,8.31,13.74,3697.6536262000823
Q3 1967,1967,Q3,8.29,14.2,3762.8515490801847
Q4 1967,1967,Q4,8.39,14.48,3837.3634609431588
Q1 1968,1968,Q1,8.47,14.77,3902.561383823261
Q2 1968,1968,Q2,8.65,15.03,3995.7012736519787
Q3 1968,1968,Q3,8.68,15.35,4051.5852075492094
Q4 1968,1968,Q4,8.78,15.59,4088.841163480696
Q1 1969,1969,Q1,8.94,15.84,4144.725097377926
Q2 1969,1969,Q2,9.09,16.17,4200.609031275157
Q3 1969,1969,Q3,9.09,16.51,4228.550998223772
Q4 1969,1969,Q4,9.25,16.9,4312.376899069617
Q1 1970,1970,Q1,9.41,17.51,4377.57482194972
Q2 1970,1970,Q2,9.64,18.13,4452.086733812694
Q3 1970,1970,Q3,9.74,18.76,4507.970667709924
Q4 1970,1970,Q4,9.95,19.34,4582.4825795728975
Q1 1971,1971,Q1,10.21,20.05,4740.820392281717
Q2 1971,1971,Q2,10.55,20.45,4908.472193973409
Q3 1971,1971,Q3,10.76,20.81,5243.775797356791
Q4 1971,1971,Q4,10.86,21.27,5532.509455825816
Q1 1972,1972,Q1,11.02,21.97,6007.522893952275
Q2 1972,1972,Q2,11.26,22.85,6557.048243941707
Q3 1972,1972,Q3,11.44,23.58,7395.3072524001645
Q4 1972,1972,Q4,11.72,24.59,7879.634679509495
Q1 1973,1973,Q1,11.88,25.33,8395.681283205331
Q2 1973,1973,Q2,12.3,26.17,8832.066977021654
Q3 1973,1973,Q3,12.51,27.16,9183.072861178262
Q4 1973,1973,Q4,13,27.81,9767.450225071423
Q1 1974,1974,Q1,13.47,28.29,9927.774534321334
Q2 1974,1974,Q2,14.23,30.23,10027.384312257667
Q3 1974,1974,Q3,14.56,32.76,10147.864710333042
Q4 1974,1974,Q4,15.24,35.34,10207.630577094844
Q1 1975,1975,Q1,16.05,38.02,10387.87684193202
Q2 1975,1975,Q2,17.46,39.48,10728.447416019108
Q3 1975,1975,Q3,18.21,42,10977.946193135831
Q4 1975,1975,Q4,18.84,43.78,11288.159501566128
Q1 1976,1976,Q1,19.41,45.39,11518.684987647359
Q2 1976,1976,Q2,20.11,46.82,11738.77516365907
Q3 1976,1976,Q3,20.58,48.27,11998.709250845315
Q4 1976,1976,Q4,21.49,49.74,12209.312781339278
Q1 1977,1977,Q1,22.46,51,12409.481001763721
Q2 1977,1977,Q2,23.4,51.54,12689.337044537233
Q3 1977,1977,Q3,23.81,52.52,12970.14175186252
Q4 1977,1977,Q4,24.13,54.12,13150.388016699697
Q1 1978,1978,Q1,24.44,56.19,13820.145190252571
Q2 1978,1978,Q2,25.06,58.54,14490.851028357225
Q3 1978,1978,Q3,25.45,60.17,15911.950526915596
Q4 1978,1978,Q4,25.85,62.02,16822.668496619226
Q1 1979,1979,Q1,26.42,63.89,17793.152333084658
Q2 1979,1979,Q2,27.25,67.82,19074.79814253216
Q3 1979,1979,Q3,28.89,70.44,20485.462331021008
Q4 1979,1979,Q4,29.7,74.41,21966.327696341177
Q1 1980,1980,Q1,30.59,78.28,22676.87744562037
Q2 1980,1980,Q2,32.23,82.37,23347.583283725016
Q3 1980,1980,Q3,32.93,86.47,23628.387991050306
Q4 1980,1980,Q4,33.53,88.83,23497.472282905408
